title,item_url,artist_name,author,img,publication_datetime,wiki_link,spotify_link,spotify_about
"On the Charts: Ariana Grande’s ‘Thank U, Next’ Holds Number One",https://www.rollingstone.com/music/music-news/charts-ariana-grande-thank-u-next-drake-so-far-gone-799469/,Ariana Grande,Daniel Kreps,https://www.rollingstone.com/wp-content/uploads/2019/02/9699491bb.jpg?crop=900:600&width=440,"February 24, 2019 4:07PM ",https://en.wikipedia.org/wiki/Ariana_Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR/about
Flashback: TLC Release ‘FanMail’ in 1999,https://www.rollingstone.com/music/music-latin/flashback-tlc-fanmail-1999-no-scrubs-unpretty-798907/,TLC,Suzy Exposito,https://www.rollingstone.com/wp-content/uploads/2019/02/GettyImages-111154465.jpg?crop=900:600&width=440,"February 23, 2019 6:59PM ",https://en.wikipedia.org/wiki/TLC,https://open.spotify.com/artist/0TImkz4nPqjegtVSMZnMRq,https://open.spotify.com/artist/0TImkz4nPqjegtVSMZnMRq/about
Venezuela Aid Live: A Music Event Spurs Confrontations at the Border,https://www.rollingstone.com/music/music-news/venezuelan-live-aid-border-music-concert-humanitarian-maduro-799348/,Latin,Rolling Stone,https://www.rollingstone.com/wp-content/uploads/2019/02/GettyImages-1126758858.jpg?crop=900:600&width=440,"February 23, 2019 7:10PM ",https://en.wikipedia.org/wiki/Latin,https://open.spotify.com/artist/5WQwioJgA1ixuXQAPLIy3T,https://open.spotify.com/artist/5WQwioJgA1ixuXQAPLIy3T/about
"R. Kelly Spends Second Night in Jail After Failing to Make $100,000 Bond",https://www.rollingstone.com/music/music-news/r-kelly-jail-bond-799456/,R. Kelly,Daniel Kreps,https://www.rollingstone.com/wp-content/uploads/2019/02/10117526a.jpg?crop=900:600&width=440,"February 24, 2019 2:02PM ",https://en.wikipedia.org/wiki/R._Kelly,https://open.spotify.com/artist/2mxe0TnaNL039ysAj51xPQ,https://open.spotify.com/artist/2mxe0TnaNL039ysAj51xPQ/about
R. Kelly: Judge Sets $1 Million Bond for Release,https://www.rollingstone.com/music/music-news/r-kelly-1-million-bail-799307/,R. Kelly,Daniel Kreps,https://www.rollingstone.com/wp-content/uploads/2019/02/shutterstock_10117526a.jpg?crop=900:600&width=440,"February 23, 2019 2:25PM ",https://en.wikipedia.org/wiki/R._Kelly,https://open.spotify.com/artist/2mxe0TnaNL039ysAj51xPQ,https://open.spotify.com/artist/2mxe0TnaNL039ysAj51xPQ/about
R. Kelly’s Lawyer Calls Singer ‘Sacrificial Lamb’ After Sex Abuse Charges,https://www.rollingstone.com/music/music-news/r-kelly-lawyer-press-conference-799213/,R. Kelly,Daniel Kreps,https://www.rollingstone.com/wp-content/uploads/2019/02/GettyImages-1131499410.jpg?crop=900:600&width=440,"February 23, 2019 10:28AM ",https://en.wikipedia.org/wiki/R._Kelly,https://open.spotify.com/artist/2mxe0TnaNL039ysAj51xPQ,https://open.spotify.com/artist/2mxe0TnaNL039ysAj51xPQ/about
"Peter Frampton Talks Degenerative Muscle Disease Diagnosis, Farewell Tour",https://www.rollingstone.com/music/music-features/peter-frampton-degenerative-muscle-disease-ibm-797556/,Peter Frampton,Andy Greene,https://www.rollingstone.com/wp-content/uploads/2019/02/peter-frampton-degenerative-muscle-disorder.jpg?crop=900:600&width=440,"February 23, 2019 8:46AM ",https://en.wikipedia.org/wiki/Peter_Frampton,https://open.spotify.com/artist/0543y7yrvny4KymoaneT4W,https://open.spotify.com/artist/0543y7yrvny4KymoaneT4W/about
The Constant Impermanence of Bob Mould,https://www.rollingstone.com/music/music-live-reviews/bob-mould-live-review-799083/,Bob Mould,Kory Grow,https://www.rollingstone.com/wp-content/uploads/2019/02/bob-mould.jpg?crop=900:600&width=440,"February 22, 2019 5:48PM ",https://en.wikipedia.org/wiki/Bob_Mould,https://open.spotify.com/artist/0fWvSXbvztkeHEnEuYvU2A,https://open.spotify.com/artist/0fWvSXbvztkeHEnEuYvU2A/about
"Duff McKagan on New Guns N’ Roses Album: ‘Oh, It’s Real’",https://www.rollingstone.com/music/music-news/duff-mckagan-new-guns-n-roses-album-799258/,Duff McKagan,Daniel Kreps,https://www.rollingstone.com/wp-content/uploads/2019/02/8923715c.jpg?crop=900:600&width=440,"February 23, 2019 11:33AM ",https://en.wikipedia.org/wiki/Duff_McKagan,https://open.spotify.com/artist/3KEe5d2p5jKihMMvuXVhr1,https://open.spotify.com/artist/3KEe5d2p5jKihMMvuXVhr1/about
Adam Levine’s Nipples at Super Bowl Prompt Complaints to FCC,https://www.rollingstone.com/music/music-news/adam-levine-nipples-super-bowl-complaints-fcc-799277/,Adam Levine,Ilana Kaplan,https://www.rollingstone.com/wp-content/uploads/2019/02/10081952jk.jpg?crop=900:600&width=440,"February 23, 2019 1:21PM ",https://en.wikipedia.org/wiki/Adam_Levine,https://open.spotify.com/artist/4bYPcJP5jwMhSivRcqie2n,https://open.spotify.com/artist/4bYPcJP5jwMhSivRcqie2n/about
